"Timestamp","Studio Art (x1) - Demand (kW)","PV Inverter (x0) - Demand (kW)","Chiller (x0) - Demand (kW)","MDB - AHU (x0) - Demand (kW)","LDB (x0) - Demand (kW)","H1 (x0) - Demand (kW)","LDB (x0) - Temperature (F)","Chiller (x0) - Temperature (F)","H1 (x0) - Temperature (F)","MDB - AHU (x0) - Temperature (F)","PV Inverter (x0) - Temperature (F)","Studio Art (x1) - Temperature (F)"
"2017-04-10 10:53:00",,,,,,,69,69,69,69,69,69
"2017-04-10 11:53:00",,,,,,,72,72,72,72,72,72
"2017-04-10 12:53:00",,,,,,,75,75,75,75,75,75
"2017-04-10 13:53:00",,,,,,,78,78,78,78,78,78
"2017-04-10 14:53:00",,,,,,,78,78,78,78,78,78
"2017-04-10 15:53:00",,,,,,,80,80,80,80,80,80
"2017-04-10 16:53:00",,,,,,,78,78,78,78,78,78
"2017-04-10 17:53:00",,,,,,,75,75,75,75,75,75
"2017-04-10 18:53:00",,,,,,,70,70,70,70,70,70
"2017-04-10 19:53:00",,,,,,,67,67,67,67,67,67
"2017-04-10 20:53:00",,,,,,,64,64,64,64,64,64
"2017-04-10 21:53:00",,,,,,,63,63,63,63,63,63
"2017-04-10 22:53:00",,,,,,,61,61,61,61,61,61
"2017-04-10 23:53:00",,,,,,,60,60,60,60,60,60
"2017-04-11 00:53:00",,,,,,,57,57,57,57,57,57
"2017-04-11 01:53:00",,,,,,,56,56,56,56,56,56
"2017-04-11 02:53:00",,,,,,,55,55,55,55,55,55
"2017-04-11 03:53:00",,,,,,,55,55,55,55,55,55
"2017-04-11 04:53:00",,,,,,,55,55,55,55,55,55
"2017-04-11 05:53:00",,,,,,,54,54,54,54,54,54
"2017-04-11 06:53:00",,,,,,,52,52,52,52,52,52
"2017-04-11 07:53:00",,,,,,,57,57,57,57,57,57
"2017-04-11 08:53:00",,,,,,,61,61,61,61,61,61
"2017-04-11 09:53:00",,,,,,,64,64,64,64,64,64
"2017-04-11 10:53:00",,,,,,,68,68,68,68,68,68
"2017-04-11 11:53:00",,,,,,,72,72,72,72,72,72
"2017-04-11 12:53:00",,,,,,,74,74,74,74,74,74
"2017-04-11 13:53:00",,,,,,,76,76,76,76,76,76
"2017-04-11 14:53:00",,,,,,,76,76,76,76,76,76
"2017-04-11 15:53:00",,,,,,,77,77,77,77,77,77
"2017-04-11 16:53:00",,,,,,,73,73,73,73,73,73
"2017-04-11 17:53:00",,,,,,,71,71,71,71,71,71
"2017-04-11 18:53:00",,,,,,,68,68,68,68,68,68
"2017-04-11 19:53:00",,,,,,,65,65,65,65,65,65
"2017-04-11 20:53:00",,,,,,,63,63,63,63,63,63
"2017-04-11 21:53:00",,,,,,,60,60,60,60,60,60
"2017-04-11 22:53:00",,,,,,,58,58,58,58,58,58
"2017-04-11 23:53:00",,,,,,,57,57,57,57,57,57
"2017-04-12 00:53:00",,,,,,,54,54,54,54,54,54
"2017-04-12 01:53:00",,,,,,,53,53,53,53,53,53
"2017-04-12 02:53:00",,,,,,,54,54,54,54,54,54
"2017-04-12 03:53:00",,,,,,,54,54,54,54,54,54
"2017-04-12 04:53:00",,,,,,,52,52,52,52,52,52
"2017-04-12 05:53:00",,,,,,,52,52,52,52,52,52
"2017-04-12 06:53:00",,,,,,,53,53,53,53,53,53
"2017-04-12 07:53:00",,,,,,,57,57,57,57,57,57
"2017-04-12 08:53:00",,,,,,,60,60,60,60,60,60
"2017-04-12 09:53:00",,,,,,,62,62,62,62,62,62
"2017-04-12 10:53:00",,,,,,,67,67,67,67,67,67
"2017-04-12 11:53:00",,,,,,,73,73,73,73,73,73
"2017-04-12 12:53:00",,,,,,,74,74,74,74,74,74
"2017-04-12 13:53:00",,,,,,,74,74,74,74,74,74
"2017-04-12 14:53:00",,,,,,,75,75,75,75,75,75
"2017-04-12 15:53:00",,,,,,,76,76,76,76,76,76
"2017-04-12 16:53:00",,,,,,,73,73,73,73,73,73
"2017-04-12 17:53:00",,,,,,,71,71,71,71,71,71
"2017-04-12 18:53:00",,,,,,,67,67,67,67,67,67
"2017-04-12 19:53:00",,,,,,,63,63,63,63,63,63
"2017-04-12 20:53:00",,,,,,,60,60,60,60,60,60
"2017-04-12 21:53:00",,,,,,,60,60,60,60,60,60
"2017-04-12 22:53:00",,,,,,,60,60,60,60,60,60
"2017-04-12 23:53:00",,,,,,,58,58,58,58,58,58
"2017-04-13 00:53:00",,,,,,,58,58,58,58,58,58
